region	tik	Число избирателей, включенных в список избирателей	Число избирательных бюллетеней, полученных участковой избирательной комиссией	Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно	Число избирательных бюллетеней, выданных в помещении для голосования в день голосования	Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования	Число погашенных избирательных бюллетеней	Число избирательных бюллетеней в переносных ящиках для голосования	Число бюллетеней в стационарных ящиках для голосования	Число недействительных избирательных бюллетеней	Число действительных избирательных бюллетеней	Число утраченных избирательных бюллетеней	Число избирательных бюллетеней, не учтенных при получении	Бабурин Сергей Николаевич	Грудинин Павел Николаевич	Жириновский Владимир Вольфович	Путин Владимир Владимирович	Собчак Ксения Анатольевна	Сурайкин Максим Александрович	Титов Борис Юрьевич	Явлинский Григорий Алексеевич	url
Республика Адыгея (Адыгея)	Адыгейская	11624	11350	0	10833	399	118	399	10833	57	11175	0	0	24	655	149	10229	62	16	15	25	http://www.vybory.izbirkom.ru/region/izbirkom?action=show&global=true&root=1000001&tvd=100100084849067&vrn=100100084849062&prver=0&pronetvd=0&region=99&sub_region=99&type=227&vibid=100100084849067
Республика Адыгея (Адыгея)	Гиагинская	23049	22395	0	18950	1757	1688	1757	18950	279	20428	0	0	201	2093	919	16789	134	122	87	83	http://www.vybory.izbirkom.ru/region/izbirkom?action=show&global=true&root=1000001&tvd=100100084849067&vrn=100100084849062&prver=0&pronetvd=0&region=99&sub_region=99&type=227&vibid=100100084849067
Республика Адыгея (Адыгея)	Кошехабльская	21964	21782	0	19851	1590	341	1590	19851	91	21350	0	0	46	599	218	20307	62	44	30	44	http://www.vybory.izbirkom.ru/region/izbirkom?action=show&global=true&root=1000001&tvd=100100084849067&vrn=100100084849062&prver=0&pronetvd=0&region=99&sub_region=99&type=227&vibid=100100084849067
Республика Адыгея (Адыгея)	Красногвардейская	21655	21025	0	17689	1249	2087	1249	17689	164	18774	0	0	89	1683	664	16078	93	80	43	44	http://www.vybory.izbirkom.ru/region/izbirkom?action=show&global=true&root=1000001&tvd=100100084849067&vrn=100100084849062&prver=0&pronetvd=0&region=99&sub_region=99&type=227&vibid=100100084849067
Республика Адыгея (Адыгея)	Майкопская	45501	45700	0	26732	1957	17011	1957	26728	432	28253	0	0	152	3968	1612	21842	239	218	129	93	http://www.vybory.izbirkom.ru/region/izbirkom?action=show&global=true&root=1000001&tvd=100100084849067&vrn=100100084849062&prver=0&pronetvd=0&region=99&sub_region=99&type=227&vibid=100100084849067
Республика Адыгея (Адыгея)	Майкопская городская	130464	128736	0	75285	5188	48263	5187	75272	954	79505	0	0	474	12554	3864	59833	955	564	559	702	http://www.vybory.izbirkom.ru/region/izbirkom?action=show&global=true&root=1000001&tvd=100100084849067&vrn=100100084849062&prver=0&pronetvd=0&region=99&sub_region=99&type=227&vibid=100100084849067
Республика Адыгея (Адыгея)	Тахтамукайская	57109	52555	0	43177	1655	7723	1655	43175	545	44285	0	0	145	5017	1224	36866	430	218	200	185	http://www.vybory.izbirkom.ru/region/izbirkom?action=show&global=true&root=1000001&tvd=100100084849067&vrn=100100084849062&prver=0&pronetvd=0&region=99&sub_region=99&type=227&vibid=100100084849067
Республика Адыгея (Адыгея)	Теучежская	13560	13322	0	11787	601	934	601	11787	52	12336	0	0	14	920	128	11190	38	22	13	11	http://www.vybory.izbirkom.ru/region/izbirkom?action=show&global=true&root=1000001&tvd=100100084849067&vrn=100100084849062&prver=0&pronetvd=0&region=99&sub_region=99&type=227&vibid=100100084849067
Республика Адыгея (Адыгея)	Шовгеновская	11794	11801	0	10736	787	278	787	10736	73	11450	0	0	20	1222	145	9961	47	33	12	10	http://www.vybory.izbirkom.ru/region/izbirkom?action=show&global=true&root=1000001&tvd=100100084849067&vrn=100100084849062&prver=0&pronetvd=0&region=99&sub_region=99&type=227&vibid=100100084849067
Республика Алтай	Горно-Алтайская городская	44831	42510	0	26805	1032	14673	1032	26804	262	27574	0	0	141	6895	1592	18110	338	142	122	234	http://www.vybory.izbirkom.ru/region/izbirkom?action=show&global=true&root=1000002&tvd=100100084849068&vrn=100100084849062&prver=0&pronetvd=0&region=99&sub_region=99&type=227&vibid=100100084849068
